geneID	geneSymbol	module
ENSG00000079739	PGM1	metabolic
ENSG00000079805	DNM2	metabolic
ENSG00000080166	DCT	metabolic
ENSG00000081181	ARG2	metabolic
ENSG00000081760	AACS	metabolic
ENSG00000082212	ME2	metabolic
ENSG00000083123	BCKDHB	metabolic
ENSG00000083223	TUT7	metabolic
ENSG00000083444	PLOD1	metabolic
ENSG00000083720	OXCT1	metabolic
ENSG00000084110	HAL	metabolic
ENSG00000084207	GSTP1	metabolic
ENSG00000084674	APOB	metabolic
ENSG00000084754	HADHA	metabolic
ENSG00000084774	CAD	metabolic
ENSG00000085231	AK6	metabolic
ENSG00000085662	AKR1B1	metabolic
ENSG00000085871	MGST2	metabolic
ENSG00000086062	B4GALT1	metabolic
ENSG00000086475	SEPHS1	metabolic
ENSG00000086848	ALG9	metabolic
ENSG00000087008	ACOX3	metabolic
ENSG00000087076	HSD17B14	metabolic
ENSG00000087299	L2HGDH	metabolic
ENSG00000087470	DNM1L	metabolic
ENSG00000088035	ALG6	metabolic
ENSG00000088305	DNMT3B	metabolic
ENSG00000088451	TGDS	metabolic
ENSG00000088826	SMOX	metabolic
ENSG00000089250	NOS1	metabolic
ENSG00000089597	GANAB	metabolic
ENSG00000090060	PAPOLA	metabolic
ENSG00000090266	NDUFB2	metabolic
ENSG00000090402	SI	metabolic
ENSG00000090857	PDPR	metabolic
ENSG00000090861	AARS1	metabolic
ENSG00000091140	DLD	metabolic
ENSG00000091483	FH	metabolic
ENSG00000092529	CAPN3	metabolic
ENSG00000092621	PHGDH	metabolic
ENSG00000092964	DPYSL2	metabolic
ENSG00000093010	COMT	metabolic
ENSG00000093072	ADA2	metabolic
ENSG00000093217	XYLB	metabolic
ENSG00000094841	UPRT	metabolic
ENSG00000094963	FMO2	metabolic
ENSG00000095059	DHPS	metabolic
ENSG00000095380	NANS	metabolic
ENSG00000095464	PDE6C	metabolic
ENSG00000096006	CRISP3	metabolic
ENSG00000096717	SIRT1	metabolic
ENSG00000099377	HSD3B7	metabolic
ENSG00000099381	SETD1A	metabolic
ENSG00000099624	ATP5F1D	metabolic
ENSG00000099795	NDUFB7	metabolic
ENSG00000099810	MTAP	metabolic
ENSG00000099817	POLR2E	metabolic
ENSG00000099821	POLRMT	metabolic
ENSG00000099998	GGT5	metabolic
ENSG00000100024	UPB1	metabolic
ENSG00000100031	GGT1	metabolic
ENSG00000100033	PRODH	metabolic
ENSG00000100116	GCAT	metabolic
ENSG00000100121	GGTLC2	metabolic
ENSG00000100142	POLR2F	metabolic
ENSG00000100348	TXN2	metabolic
ENSG00000100354	TNRC6B	metabolic
ENSG00000100412	ACO2	metabolic
ENSG00000100413	POLR3H	metabolic
ENSG00000100417	PMM1	metabolic
ENSG00000100448	CTSG	metabolic
ENSG00000100479	POLE2	metabolic
ENSG00000100504	PYGL	metabolic
ENSG00000100522	GNPNAT1	metabolic
ENSG00000100577	GSTZ1	metabolic
ENSG00000100600	LGMN	metabolic
ENSG00000100626	GALNT16	metabolic
ENSG00000100867	DHRS2	metabolic
ENSG00000100889	PCK2	metabolic
ENSG00000100938	GMPR2	metabolic
ENSG00000100983	GSS	metabolic
ENSG00000100994	PYGB	metabolic
ENSG00000101160	CTSZ	metabolic
ENSG00000101210	EEF1A2	metabolic
ENSG00000101323	HAO1	metabolic
ENSG00000101365	IDH3B	metabolic
ENSG00000101444	AHCY	metabolic
ENSG00000101751	POLI	metabolic
ENSG00000101846	STS	metabolic
ENSG00000101868	POLA1	metabolic
ENSG00000101890	GUCY2F	metabolic
ENSG00000101901	ALG13	metabolic
ENSG00000101911	PRPS2	metabolic
ENSG00000101945	SUV39H1	metabolic
ENSG00000102030	NAA10	metabolic
ENSG00000102032	RENBP	metabolic
ENSG00000102144	PGK1	metabolic
ENSG00000102172	SMS	metabolic
ENSG00000102393	GLA	metabolic
ENSG00000102967	DHODH	metabolic
ENSG00000102978	POLR2C	metabolic
ENSG00000103024	NME3	metabolic
ENSG00000103150	MLYCD	metabolic
ENSG00000103202	NME4	metabolic
ENSG00000103253	HAGHL	metabolic
ENSG00000103707	MTFMT	metabolic
ENSG00000103740	ACSBG1	metabolic
ENSG00000103811	CTSH	metabolic
ENSG00000103876	FAH	metabolic
ENSG00000104267	CA2	metabolic
ENSG00000104331	BPNT2	metabolic
ENSG00000104522	GFUS	metabolic
ENSG00000104524	PYCR3	metabolic
ENSG00000104687	GSR	metabolic
ENSG00000104723	TUSC3	metabolic
ENSG00000104774	MAN2B1	metabolic
ENSG00000104808	DHDH	metabolic
ENSG00000104812	GYS1	metabolic
ENSG00000104879	CKM	metabolic
ENSG00000104885	DOT1L	metabolic
ENSG00000104951	IL4I1	metabolic
ENSG00000105220	GPI	metabolic
ENSG00000105258	POLR2I	metabolic
ENSG00000105379	ETFB	metabolic
ENSG00000105552	BCAT2	metabolic
ENSG00000105607	GCDH	metabolic
ENSG00000105650	PDE4C	metabolic
ENSG00000105679	GAPDHS	metabolic
ENSG00000105852	PON3	metabolic
ENSG00000105854	PON2	metabolic
ENSG00000105953	OGDH	metabolic
ENSG00000106049	HIBADH	metabolic
ENSG00000106105	GARS1	metabolic
ENSG00000106348	IMPDH1	metabolic
ENSG00000106392	C1GALT1	metabolic
ENSG00000106397	PLOD3	metabolic
ENSG00000106462	EZH2	metabolic
ENSG00000106628	POLD2	metabolic
ENSG00000106633	GCK	metabolic
ENSG00000106976	DNM1	metabolic
ENSG00000106992	AK1	metabolic
ENSG00000107159	CA9	metabolic
ENSG00000107165	TYRP1	metabolic
ENSG00000107614	TRDMT1	metabolic
ENSG00000107902	LHPP	metabolic
ENSG00000107951	MTPAP	metabolic
ENSG00000108381	ASPA	metabolic
ENSG00000108479	GALK1	metabolic
ENSG00000108515	ENO3	metabolic
ENSG00000108602	ALDH3A1	metabolic
ENSG00000108799	EZH1	metabolic
ENSG00000109107	ALDOC	metabolic
ENSG00000109181	UGT2B10	metabolic
ENSG00000109323	MANBA	metabolic
ENSG00000109390	NDUFC1	metabolic
ENSG00000109576	AADAT	metabolic
ENSG00000109586	GALNT7	metabolic
ENSG00000109610	SOD3	metabolic
ENSG00000109685	NSD2	metabolic
ENSG00000109814	UGDH	metabolic
ENSG00000109854	HTATIP2	metabolic
ENSG00000109861	CTSC	metabolic
ENSG00000110066	KMT5B	metabolic
ENSG00000110080	ST3GAL4	metabolic
ENSG00000110245	APOC3	metabolic
ENSG00000110328	GALNT18	metabolic
ENSG00000110435	PDHX	metabolic
ENSG00000110619	CARS1	metabolic
ENSG00000110717	NDUFS8	metabolic
ENSG00000110887	DAO	metabolic
ENSG00000110955	ATP5F1B	metabolic
ENSG00000111058	ACSS3	metabolic
ENSG00000111237	VPS29	metabolic
ENSG00000111261	MANSC1	metabolic
ENSG00000111271	ACAD10	metabolic
ENSG00000111275	ALDH2	metabolic
ENSG00000111445	RFC5	metabolic
ENSG00000111640	GAPDH	metabolic
ENSG00000111669	TPI1	metabolic
ENSG00000111674	ENO2	metabolic
ENSG00000111713	GYS2	metabolic
ENSG00000111716	LDHB	metabolic
ENSG00000111726	CMAS	metabolic
ENSG00000111732	AICDA	metabolic
ENSG00000111775	COX6A1	metabolic
ENSG00000111885	MAN1A1	metabolic
ENSG00000111962	UST	metabolic
ENSG00000112294	ALDH5A1	metabolic
ENSG00000112541	PDE10A	metabolic
ENSG00000112695	COX7A2	metabolic
ENSG00000112699	GMDS	metabolic
ENSG00000112893	MAN2A1	metabolic
ENSG00000112941	TENT4A	metabolic
ENSG00000112972	HMGCS1	metabolic
ENSG00000113231	PDE8B	metabolic
ENSG00000113356	POLR3G	metabolic
ENSG00000113407	TARS1	metabolic
ENSG00000113448	PDE4D	metabolic
ENSG00000113456	RAD1	metabolic
ENSG00000113492	AGXT2	metabolic
ENSG00000113552	GNPDA1	metabolic
ENSG00000113643	RARS1	metabolic
ENSG00000113790	EHHADH	metabolic
ENSG00000113924	HGD	metabolic
ENSG00000114021	NIT2	metabolic
ENSG00000114054	PCCB	metabolic
ENSG00000114268	PFKFB4	metabolic
ENSG00000114480	GBE1	metabolic
ENSG00000114491	UMPS	metabolic
ENSG00000114902	SPCS1	metabolic
ENSG00000114956	DGUOK	metabolic
ENSG00000115159	GPD2	metabolic
ENSG00000115252	PDE1A	metabolic
ENSG00000115275	MOGS	metabolic
ENSG00000115286	NDUFS7	metabolic
ENSG00000115339	GALNT3	metabolic
ENSG00000115350	POLE4	metabolic
ENSG00000115419	GLS	metabolic
ENSG00000115421	PAPOLG	metabolic
ENSG00000115425	PECR	metabolic
ENSG00000115488	NEU2	metabolic
ENSG00000115526	CHST10	metabolic
ENSG00000115652	UXS1	metabolic
ENSG00000115705	TPO	metabolic
ENSG00000115758	ODC1	metabolic
ENSG00000115850	LCT	metabolic
ENSG00000115866	DARS1	metabolic
ENSG00000115919	KYNU	metabolic
ENSG00000116120	FARSB	metabolic
ENSG00000116133	DHCR24	metabolic
ENSG00000116157	GPX7	metabolic
ENSG00000116199	FAM20B	metabolic
ENSG00000116337	AMPD2	metabolic
ENSG00000116353	MECR	metabolic
ENSG00000116459	ATP5PB	metabolic
ENSG00000116539	ASH1L	metabolic
ENSG00000116649	SRM	metabolic
ENSG00000116748	AMPD1	metabolic
ENSG00000116761	CTH	metabolic
ENSG00000116771	AGMAT	metabolic
ENSG00000116783	TNNI3K	metabolic
ENSG00000116791	CRYZ	metabolic
ENSG00000116882	HAO2	metabolic
ENSG00000116981	NT5C1A	metabolic
ENSG00000116984	MTR	metabolic
ENSG00000117009	KMO	metabolic
ENSG00000117054	ACADM	metabolic
ENSG00000117115	PADI2	metabolic
ENSG00000117118	SDHB	metabolic
ENSG00000117143	UAP1	metabolic
ENSG00000117305	HMGCL	metabolic
ENSG00000117308	GALE	metabolic
ENSG00000117411	B4GALT2	metabolic
ENSG00000117448	AKR1A1	metabolic
ENSG00000117450	PRDX1	metabolic
ENSG00000117592	PRDX6	metabolic
ENSG00000117643	MAN1C1	metabolic
ENSG00000117682	DHDDS	metabolic
ENSG00000117984	CTSD	metabolic
ENSG00000118017	A4GNT	metabolic
ENSG00000118058	KMT2A	metabolic
ENSG00000118094	TREH	metabolic
ENSG00000118298	CA14	metabolic
ENSG00000118363	SPCS2	metabolic
ENSG00000118402	ELOVL4	metabolic
ENSG00000118514	ALDH8A1	metabolic
ENSG00000118520	ARG1	metabolic
ENSG00000118705	RPN2	metabolic
ENSG00000119013	NDUFB3	metabolic
ENSG00000119125	GDA	metabolic
ENSG00000119421	NDUFA8	metabolic
ENSG00000119514	GALNT12	metabolic
ENSG00000119523	ALG2	metabolic
ENSG00000119640	ACYP1	metabolic
ENSG00000119673	ACOT2	metabolic
ENSG00000119689	DLST	metabolic
ENSG00000119711	ALDH6A1	metabolic
ENSG00000119772	DNMT3A	metabolic
ENSG00000119915	ELOVL3	metabolic
ENSG00000119938	PPP1R3C	metabolic
ENSG00000120053	GOT1	metabolic
ENSG00000120437	ACAT2	metabolic
ENSG00000120563	LYZL1	metabolic
ENSG00000120697	ALG5	metabolic
ENSG00000120942	UBIAD1	metabolic
ENSG00000121039	RDH10	metabolic
ENSG00000121053	EPX	metabolic
ENSG00000121281	ADCY7	metabolic
ENSG00000121310	ECHDC2	metabolic
ENSG00000121691	CAT	metabolic
ENSG00000121851	POLR3GL	metabolic
ENSG00000122008	POLK	metabolic
ENSG00000122194	PLG	metabolic
ENSG00000122390	NAA60	metabolic
ENSG00000122643	NT5C3A	metabolic
ENSG00000122678	POLM	metabolic
ENSG00000122729	ACO1	metabolic
ENSG00000122884	P4HA1	metabolic
ENSG00000122971	ACADS	metabolic
ENSG00000123360	PDE1B	metabolic
ENSG00000123453	SARDH	metabolic
ENSG00000123454	DBH	metabolic
ENSG00000123505	AMD1	metabolic
ENSG00000123836	PFKFB2	metabolic
ENSG00000123983	ACSL3	metabolic
ENSG00000124172	ATP5F1E	metabolic
ENSG00000124253	PCK1	metabolic
ENSG00000124302	CHST8	metabolic
ENSG00000124357	NAGK	metabolic
ENSG00000124370	MCEE	metabolic
ENSG00000124523	SIRT5	metabolic
ENSG00000124596	OARD1	metabolic
ENSG00000124713	GNMT	metabolic
ENSG00000124767	GLO1	metabolic
ENSG00000125166	GOT2	metabolic
ENSG00000125246	CLYBL	metabolic
ENSG00000125356	NDUFA1	metabolic
ENSG00000125458	NT5C	metabolic
ENSG00000125630	POLR1B	metabolic
ENSG00000125877	ITPA	metabolic
ENSG00000126267	COX6B1	metabolic
ENSG00000126432	PRDX5	metabolic
ENSG00000126522	ASL	metabolic
ENSG00000127184	COX7C	metabolic
ENSG00000127540	UQCR11	metabolic
ENSG00000127884	ECHS1	metabolic
ENSG00000128050	PAICS	metabolic
ENSG00000128059	PPAT	metabolic
ENSG00000128268	MGAT3	metabolic
ENSG00000128294	TPST2	metabolic
ENSG00000128309	MPST	metabolic
ENSG00000128311	TST	metabolic
ENSG00000128609	NDUFA5	metabolic
ENSG00000128655	PDE11A	metabolic
ENSG00000128683	GAD1	metabolic
ENSG00000128928	IVD	metabolic
ENSG00000128951	DUT	metabolic
ENSG00000129128	SPCS3	metabolic
ENSG00000129151	BBOX1	metabolic
ENSG00000129187	DCTD	metabolic
ENSG00000129467	ADCY4	metabolic
ENSG00000129562	DAD1	metabolic
ENSG00000130005	GAMT	metabolic
ENSG00000130035	GALNT8	metabolic
ENSG00000130066	SAT1	metabolic
ENSG00000130203	APOE	metabolic
ENSG00000130208	APOC1	metabolic
ENSG00000130309	COLGALT1	metabolic
ENSG00000130313	PGLS	metabolic
ENSG00000130377	ACSBG2	metabolic
ENSG00000130414	NDUFA10	metabolic
ENSG00000130508	PXDN	metabolic
ENSG00000130540	SULT4A1	metabolic
ENSG00000130649	CYP2E1	metabolic
ENSG00000130707	ASS1	metabolic
ENSG00000130717	UCK1	metabolic
ENSG00000130816	DNMT1	metabolic
ENSG00000130957	FBP2	metabolic
ENSG00000130997	POLN	metabolic
ENSG00000131055	COX4I2	metabolic
ENSG00000131067	GGT7	metabolic
ENSG00000131069	ACSS2	metabolic
ENSG00000131143	COX4I1	metabolic
ENSG00000131174	COX7B	metabolic
ENSG00000131203	IDO1	metabolic
ENSG00000131386	GALNT15	metabolic
ENSG00000131446	MGAT1	metabolic
ENSG00000131459	GFPT2	metabolic
ENSG00000131471	AOC3	metabolic
ENSG00000131473	ACLY	metabolic
ENSG00000131480	AOC2	metabolic
ENSG00000131482	G6PC1	metabolic
ENSG00000131495	NDUFA2	metabolic
ENSG00000131686	CA6	metabolic
ENSG00000131730	CKMT2	metabolic
ENSG00000131781	FMO5	metabolic
ENSG00000131844	MCCC2	metabolic
ENSG00000132330	SCLY	metabolic
ENSG00000132437	DDC	metabolic
ENSG00000132518	GUCY2D	metabolic
ENSG00000132664	POLR3F	metabolic
ENSG00000132744	ACY3	metabolic
ENSG00000132746	ALDH3B2	metabolic
ENSG00000132837	DMGDH	metabolic
ENSG00000132840	BHMT2	metabolic
ENSG00000132915	PDE6A	metabolic
ENSG00000133048	CHI3L1	metabolic
ENSG00000133063	CHIT1	metabolic
ENSG00000133247	KMT5C	metabolic
ENSG00000133256	PDE6B	metabolic
ENSG00000133313	CNDP2	metabolic
ENSG00000133315	MACROD1	metabolic
ENSG00000133433	GSTT2B	metabolic
ENSG00000133706	LARS1	metabolic
ENSG00000133805	AMPD3	metabolic
ENSG00000134184	GSTM1	metabolic
ENSG00000134201	GSTM5	metabolic
ENSG00000134202	GSTM3	metabolic
ENSG00000134216	CHIA	metabolic
ENSG00000134326	CMPK2	metabolic
ENSG00000134333	LDHA	metabolic
ENSG00000134440	NARS1	metabolic
ENSG00000134575	ACP2	metabolic
ENSG00000134684	YARS1	metabolic
ENSG00000134744	TUT4	metabolic
ENSG00000134864	GGACT	metabolic
ENSG00000134882	UBAC2	metabolic
ENSG00000134910	STT3A	metabolic
ENSG00000135047	CTSL	metabolic
ENSG00000135069	PSAT1	metabolic
ENSG00000135094	SDS	metabolic
ENSG00000135220	UGT2A3	metabolic
ENSG00000135226	UGT2B28	metabolic
ENSG00000135318	NT5E	metabolic
ENSG00000135390	ATP5MC2	metabolic
ENSG00000135423	GLS2	metabolic
ENSG00000135702	CHST5	metabolic
ENSG00000135821	GLUL	metabolic
ENSG00000135838	NPL	metabolic
ENSG00000135940	COX5B	metabolic
ENSG00000136143	SUCLA2	metabolic
ENSG00000136169	SETDB2	metabolic
ENSG00000136521	NDUFB5	metabolic
ENSG00000136542	GALNT5	metabolic
ENSG00000136628	EPRS1	metabolic
ENSG00000136720	HS6ST1	metabolic
ENSG00000136750	GAD2	metabolic
ENSG00000136810	TXN	metabolic
ENSG00000136872	ALDOB	metabolic
ENSG00000136877	FPGS	metabolic
ENSG00000136908	DPM2	metabolic
ENSG00000136943	CTSV	metabolic
ENSG00000137054	POLR1E	metabolic
ENSG00000137106	GRHPR	metabolic
ENSG00000137124	ALDH1B1	metabolic
ENSG00000137198	GMPR	metabolic
ENSG00000137563	GGH	metabolic
ENSG00000137857	DUOX1	metabolic
ENSG00000137944	KYAT3	metabolic
ENSG00000137992	DBT	metabolic
ENSG00000138029	HADHB	metabolic
ENSG00000138030	KHK	metabolic
ENSG00000138031	ADCY3	metabolic
ENSG00000138061	CYP1B1	metabolic
ENSG00000138185	ENTPD1	metabolic
ENSG00000138356	AOX1	metabolic
ENSG00000138363	ATIC	metabolic
ENSG00000138400	MDH1B	metabolic
ENSG00000138413	IDH1	metabolic
ENSG00000138653	NDST4	metabolic
ENSG00000138735	PDE5A	metabolic
ENSG00000138744	NAAA	metabolic
ENSG00000138777	PPA2	metabolic
ENSG00000138796	HADH	metabolic
ENSG00000138801	PAPSS1	metabolic
ENSG00000139053	PDE6H	metabolic
ENSG00000139133	ALG10	metabolic
ENSG00000139180	NDUFA9	metabolic
ENSG00000139344	AMDHD1	metabolic
ENSG00000139410	SDSL	metabolic
ENSG00000139531	SUOX	metabolic
ENSG00000139629	GALNT6	metabolic
ENSG00000139684	ESD	metabolic
ENSG00000139718	SETD1B	metabolic
ENSG00000139977	NAA30	metabolic
ENSG00000139988	RDH12	metabolic
ENSG00000140057	AK7	metabolic
ENSG00000140105	WARS1	metabolic
ENSG00000140263	SORD	metabolic
ENSG00000140279	DUOX2	metabolic
ENSG00000140284	SLC27A2	metabolic
ENSG00000140287	HDC	metabolic
ENSG00000140297	GCNT3	metabolic
ENSG00000140374	ETFA	metabolic
ENSG00000140400	MAN2C1	metabolic
ENSG00000140465	CYP1A1	metabolic
ENSG00000140505	CYP1A2	metabolic
ENSG00000140521	POLG	metabolic
ENSG00000140598	EFL1	metabolic
ENSG00000140612	SEC11A	metabolic
ENSG00000140650	PMM2	metabolic
ENSG00000140740	UQCRC2	metabolic
ENSG00000140835	CHST4	metabolic
ENSG00000140905	GCSH	metabolic
ENSG00000140990	NDUFB10	metabolic
ENSG00000141012	GALNS	metabolic
ENSG00000141279	NPEPPS	metabolic
ENSG00000141349	G6PC3	metabolic
ENSG00000141429	GALNT1	metabolic
ENSG00000141504	SAT2	metabolic
ENSG00000141560	FN3KRP	metabolic
ENSG00000141698	NT5C3B	metabolic
ENSG00000141744	PNMT	metabolic
ENSG00000141959	PFKL	metabolic
ENSG00000142046	TMEM91	metabolic
ENSG00000142082	SIRT3	metabolic
ENSG00000142102	PGGHG	metabolic
ENSG00000142168	SOD1	metabolic
ENSG00000142182	DNMT3L	metabolic
ENSG00000142619	PADI3	metabolic
ENSG00000142623	PADI1	metabolic
ENSG00000142657	PGD	metabolic
ENSG00000142920	AZIN2	metabolic
ENSG00000143149	ALDH9A1	metabolic
ENSG00000143156	NME7	metabolic
ENSG00000143179	UCK2	metabolic
ENSG00000143198	MGST3	metabolic
ENSG00000143199	ADCY10	metabolic
ENSG00000143252	SDHC	metabolic
ENSG00000143363	PRUNE1	metabolic
ENSG00000143379	SETDB1	metabolic
ENSG00000143387	CTSK	metabolic
ENSG00000143627	PKLR	metabolic
ENSG00000143641	GALNT2	metabolic
ENSG00000143653	SCCPDH	metabolic
ENSG00000143774	GUK1	metabolic
ENSG00000143811	PYCR2	metabolic
ENSG00000143891	GALM	metabolic
ENSG00000144057	ST6GAL2	metabolic
ENSG00000144231	POLR2D	metabolic
ENSG00000144278	GALNT13	metabolic
ENSG00000144843	ADPRH	metabolic
ENSG00000145020	AMT	metabolic
ENSG00000145293	ENOPH1	metabolic
ENSG00000145391	SETD7	metabolic
ENSG00000145439	CBR4	metabolic
ENSG00000145494	NDUFS6	metabolic
ENSG00000145626	UGT3A1	metabolic
ENSG00000145692	BHMT	metabolic
ENSG00000146085	MMUT	metabolic
ENSG00000146587	RBAK	metabolic
ENSG00000146701	MDH2	metabolic
ENSG00000146733	PSPH	metabolic
ENSG00000147119	CHST7	metabolic
ENSG00000147123	NDUFB11	metabolic
ENSG00000147224	PRPS1	metabolic
ENSG00000147548	NSD3	metabolic
ENSG00000147576	ADHFE1	metabolic
ENSG00000147647	DPYS	metabolic
ENSG00000147669	POLR2K	metabolic
ENSG00000147684	NDUFB9	metabolic
ENSG00000147853	AK3	metabolic
ENSG00000148057	IDNK	metabolic
ENSG00000148090	AUH	metabolic
ENSG00000148229	POLE3	metabolic
ENSG00000148606	POLR3A	metabolic
ENSG00000148672	GLUD1	metabolic
ENSG00000148832	PAOX	metabolic
ENSG00000148834	GSTO1	metabolic
ENSG00000149016	TUT1	metabolic
ENSG00000149089	APIP	metabolic
ENSG00000149124	GLYAT	metabolic
ENSG00000149380	P4HA3	metabolic
ENSG00000149435	GGTLC1	metabolic
ENSG00000149925	ALDOA	metabolic
ENSG00000150540	HNMT	metabolic
ENSG00000150656	CNDP1	metabolic
ENSG00000150768	DLAT	metabolic
ENSG00000151005	TKTL2	metabolic
ENSG00000151224	MAT1A	metabolic
ENSG00000151360	ALLC	metabolic
ENSG00000151366	NDUFC2	metabolic
ENSG00000151376	ME3	metabolic
ENSG00000151498	ACAD8	metabolic
ENSG00000151726	ACSL1	metabolic
ENSG00000151790	TDO2	metabolic
ENSG00000152127	MGAT5	metabolic
ENSG00000152234	ATP5F1A	metabolic
ENSG00000152254	G6PC2	metabolic
ENSG00000152270	PDE3B	metabolic
ENSG00000152402	GUCY1A2	metabolic
ENSG00000152455	SUV39H2	metabolic
ENSG00000152556	PFKM	metabolic
ENSG00000152904	GGPS1	metabolic
ENSG00000152952	PLOD2	metabolic
ENSG00000153086	ACMSD	metabolic
ENSG00000153574	RPIA	metabolic
ENSG00000153936	HS2ST1	metabolic
ENSG00000154027	AK5	metabolic
ENSG00000154080	CHST9	metabolic
ENSG00000154252	GAL3ST2	metabolic
ENSG00000154269	ENPP3	metabolic
ENSG00000154518	ATP5MC3	metabolic
ENSG00000154678	PDE1C	metabolic
ENSG00000154723	ATP5PF	metabolic
ENSG00000154930	ACSS1	metabolic
ENSG00000155085	AK9	metabolic
ENSG00000155897	ADCY8	metabolic
ENSG00000156096	UGT2B4	metabolic
ENSG00000156110	ADK	metabolic
ENSG00000156136	DCK	metabolic
ENSG00000156269	NAA11	metabolic
ENSG00000156411	ATP5MJ	metabolic
ENSG00000156467	UQCRB	metabolic
ENSG00000156508	EEF1A1	metabolic
ENSG00000156510	HKDC1	metabolic
ENSG00000156515	HK1	metabolic
ENSG00000156689	GLYATL2	metabolic
ENSG00000156795	NTAQ1	metabolic
ENSG00000156885	COX6A2	metabolic
ENSG00000156958	GALK2	metabolic
ENSG00000157045	NTAN1	metabolic
ENSG00000157350	ST3GAL2	metabolic
